A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,model,dependent_var
mmlu_distractors_negation_based,mmlu_distractors_partial_truths,0.9105440489451091,1.8298772382736206,-0.9193331893285115,0.296726982502943,-3.0982460090881467,0.024503054852737294,-0.2737338648426815,gpt-4o-mini,response_time
mmlu_distractors_negation_based,mmlu_distractors_plausible_alternatives,0.9105440489451091,1.0067865959803264,-0.09624254703521729,0.296726982502943,-0.3243471362913979,0.9995239620692057,-0.08480635202354277,gpt-4o-mini,response_time
mmlu_distractors_negation_based,mmlu_distractors_semantic_confounders,0.9105440489451091,0.7933864529927571,0.11715759595235198,0.296726982502943,0.39483297057823175,0.9987627044250847,0.12565340436890743,gpt-4o-mini,response_time
mmlu_distractors_negation_based,mmlu_distractors_syntax_manipulations,0.9105440489451091,0.8916843144098917,0.018859734535217387,0.296726982502943,0.06355921654354549,0.9999998544766754,0.017803422078976373,gpt-4o-mini,response_time
mmlu_distractors_negation_based,original,0.9105440489451091,1.3197508255640666,-0.40920677661895755,0.296726982502943,-1.3790683043625767,0.7396839785450139,-0.14864697611959576,gpt-4o-mini,response_time
mmlu_distractors_partial_truths,mmlu_distractors_plausible_alternatives,1.8298772382736206,1.0067865959803264,0.8230906422932942,0.296726982502943,2.773898872796749,0.06263874443375816,0.2432018460683292,gpt-4o-mini,response_time
mmlu_distractors_partial_truths,mmlu_distractors_semantic_confounders,1.8298772382736206,0.7933864529927571,1.0364907852808636,0.296726982502943,3.493078979666379,0.006631060063847727,0.3120095924444551,gpt-4o-mini,response_time
mmlu_distractors_partial_truths,mmlu_distractors_syntax_manipulations,1.8298772382736206,0.8916843144098917,0.9381929238637289,0.296726982502943,3.161805225631692,0.02009185860142937,0.2792387444821543,gpt-4o-mini,response_time
mmlu_distractors_partial_truths,original,1.8298772382736206,1.3197508255640666,0.510126412709554,0.296726982502943,1.71917770472557,0.5193535493235208,0.12110029368086161,gpt-4o-mini,response_time
mmlu_distractors_plausible_alternatives,mmlu_distractors_semantic_confounders,1.0067865959803264,0.7933864529927571,0.21340014298756926,0.296726982502943,0.7191801068696296,0.9796283894550115,0.2088559366051099,gpt-4o-mini,response_time
mmlu_distractors_plausible_alternatives,mmlu_distractors_syntax_manipulations,1.0067865959803264,0.8916843144098917,0.11510228157043467,0.296726982502943,0.38790635283494335,0.9988640951164254,0.10107478763720901,gpt-4o-mini,response_time
mmlu_distractors_plausible_alternatives,original,1.0067865959803264,1.3197508255640666,-0.31296422958374026,0.296726982502943,-1.0547211680711788,0.8989702998388618,-0.11239851661333052,gpt-4o-mini,response_time
mmlu_distractors_semantic_confounders,mmlu_distractors_syntax_manipulations,0.7933864529927571,0.8916843144098917,-0.09829786141713459,0.296726982502943,-0.3312737540346863,0.9994722442395781,-0.10488802133768801,gpt-4o-mini,response_time
mmlu_distractors_semantic_confounders,original,0.7933864529927571,1.3197508255640666,-0.5263643725713095,0.296726982502943,-1.7739012749408085,0.48324352180406605,-0.19435836894323807,gpt-4o-mini,response_time
mmlu_distractors_syntax_manipulations,original,0.8916843144098917,1.3197508255640666,-0.42806651115417493,0.296726982502943,-1.4426275209061221,0.7008366835673322,-0.15540624360720712,gpt-4o-mini,response_time
mmlu_distractors_negation_based,mmlu_distractors_partial_truths,0.9333333333333333,0.8933333333333333,0.040000000000000036,0.03112282723888986,1.2852302810722032,0.7931959966227329,0.14170056289344815,gpt-3.5-turbo,accuracy
mmlu_distractors_negation_based,mmlu_distractors_plausible_alternatives,0.9333333333333333,0.9666666666666667,-0.033333333333333326,0.03112282723888986,-1.0710252342268347,0.8928426262183429,-0.15249574248229208,gpt-3.5-turbo,accuracy
mmlu_distractors_negation_based,mmlu_distractors_semantic_confounders,0.9333333333333333,0.8533333333333334,0.07999999999999996,0.03112282723888986,2.5704605621444028,0.10567282392187882,0.25983528484533186,gpt-3.5-turbo,accuracy
mmlu_distractors_negation_based,mmlu_distractors_syntax_manipulations,0.9333333333333333,0.92,0.013333333333333308,0.03112282723888986,0.4284100936907332,0.9981673512755983,0.05086517024162643,gpt-3.5-turbo,accuracy
mmlu_distractors_negation_based,original,0.9333333333333333,0.9533333333333334,-0.020000000000000018,0.03112282723888986,-0.6426151405361016,0.987724098882815,-0.08607803738959476,gpt-3.5-turbo,accuracy
mmlu_distractors_partial_truths,mmlu_distractors_plausible_alternatives,0.8933333333333333,0.9666666666666667,-0.07333333333333336,0.03112282723888986,-2.3562555152990377,0.1730619057570566,-0.288731782969216,gpt-3.5-turbo,accuracy
mmlu_distractors_partial_truths,mmlu_distractors_semantic_confounders,0.8933333333333333,0.8533333333333334,0.039999999999999925,0.03112282723888986,1.2852302810721996,0.7931959966227349,0.11977814801024474,gpt-3.5-turbo,accuracy
mmlu_distractors_partial_truths,mmlu_distractors_syntax_manipulations,0.8933333333333333,0.92,-0.026666666666666727,0.03112282723888986,-0.8568201873814699,0.95644960477814,-0.09122951681611502,gpt-3.5-turbo,accuracy
mmlu_distractors_partial_truths,original,0.8933333333333333,0.9533333333333334,-0.06000000000000005,0.03112282723888986,-1.9278454216083047,0.38569358588703684,-0.22563131069220654,gpt-3.5-turbo,accuracy
mmlu_distractors_plausible_alternatives,mmlu_distractors_semantic_confounders,0.9666666666666667,0.8533333333333334,0.11333333333333329,0.03112282723888986,3.6414857963712373,0.0038807496824766474,0.40165496488033503,gpt-3.5-turbo,accuracy
mmlu_distractors_plausible_alternatives,mmlu_distractors_syntax_manipulations,0.9666666666666667,0.92,0.046666666666666634,0.03112282723888986,1.4994353279175678,0.664747880666475,0.20169053779032697,gpt-3.5-turbo,accuracy
mmlu_distractors_plausible_alternatives,original,0.9666666666666667,0.9533333333333334,0.013333333333333308,0.03112282723888986,0.4284100936907332,0.9981673512755983,0.06768256073439222,gpt-3.5-turbo,accuracy
mmlu_distractors_semantic_confounders,mmlu_distractors_syntax_manipulations,0.8533333333333334,0.92,-0.06666666666666665,0.03112282723888986,-2.1420504684536694,0.26663915564693363,-0.21024045328514698,gpt-3.5-turbo,accuracy
mmlu_distractors_semantic_confounders,original,0.8533333333333334,0.9533333333333334,-0.09999999999999998,0.03112282723888986,-3.2130757026805044,0.017061439625904895,-0.34134799854086817,gpt-3.5-turbo,accuracy
mmlu_distractors_syntax_manipulations,original,0.92,0.9533333333333334,-0.033333333333333326,0.03112282723888986,-1.0710252342268347,0.8928426262183429,-0.13637708671097218,gpt-3.5-turbo,accuracy
mmlu_distractors_negation_based,mmlu_distractors_partial_truths,0.5648834832509358,4.588307973543803,-4.023424490292867,8.876617932708431,-0.4532609740323972,0.9975996200278678,-0.11572732213701216,gpt-3.5-turbo,response_time
mmlu_distractors_negation_based,mmlu_distractors_plausible_alternatives,0.5648834832509358,26.43704491297404,-25.872161429723107,8.876617932708431,-2.9146417730101626,0.0423341107660925,-0.20074999033943974,gpt-3.5-turbo,response_time
mmlu_distractors_negation_based,mmlu_distractors_semantic_confounders,0.5648834832509358,0.5645411570866903,0.0003423261642455655,8.876617932708431,3.856493169365408e-05,1.0,0.0009046036528447908,gpt-3.5-turbo,response_time
mmlu_distractors_negation_based,mmlu_distractors_syntax_manipulations,0.5648834832509358,0.5919054969151815,-0.027022013664245614,8.876617932708431,-0.003044178973241069,0.9999999999999657,-0.06664081382375966,gpt-3.5-turbo,response_time
mmlu_distractors_negation_based,original,0.5648834832509358,0.6636323674519857,-0.09874888420104988,8.876617932708431,-0.011124606798404766,0.999999999976044,-0.22889555984159887,gpt-3.5-turbo,response_time
